Total Nacional;Municipios;Indicadores;Sexo;Periodo;Total
Total Nacional;;Tasa de desempleo (Porcentaje);Total;2023;12,18
Total Nacional;;Tasa de desempleo (Porcentaje);Total;2022;13,03
Total Nacional;;Tasa de desempleo (Porcentaje);Total;2021;14,91
Total Nacional;;Tasa de desempleo (Porcentaje);Total;2020;15,45
Total Nacional;;Tasa de desempleo (Porcentaje);Total;2019;14,07
Total Nacional;;Tasa de desempleo (Porcentaje);Total;2018;15,2
Total Nacional;;Tasa de desempleo (Porcentaje);Total;2017;17,23
Total Nacional;;Tasa de desempleo (Porcentaje);Total;2016;19,63
Total Nacional;;Tasa de desempleo (Porcentaje);Total;2015;22,06
Total Nacional;;Tasa de desempleo (Porcentaje);Total;2014;24,44
Total Nacional;;Tasa de desempleo (Porcentaje);Total;2013;26,09
Total Nacional;;Tasa de desempleo (Porcentaje);Total;2012;24,79
Total Nacional;;Tasa de desempleo (Porcentaje);Total;2011;21,39
Total Nacional;;Tasa de desempleo (Porcentaje);Total;2010;19,86
Total Nacional;;Tasa de desempleo (Porcentaje);Mujeres;2023;""
Total Nacional;;Tasa de desempleo (Porcentaje);Mujeres;2022;""
Total Nacional;;Tasa de desempleo (Porcentaje);Mujeres;2021;""
Total Nacional;;Tasa de desempleo (Porcentaje);Mujeres;2020;""
Total Nacional;;Tasa de desempleo (Porcentaje);Mujeres;2019;""
Total Nacional;;Tasa de desempleo (Porcentaje);Mujeres;2018;""
Total Nacional;;Tasa de desempleo (Porcentaje);Mujeres;2017;""
Total Nacional;;Tasa de desempleo (Porcentaje);Mujeres;2016;""
Total Nacional;;Tasa de desempleo (Porcentaje);Mujeres;2015;""
Total Nacional;;Tasa de desempleo (Porcentaje);Mujeres;2014;""
Total Nacional;;Tasa de desempleo (Porcentaje);Mujeres;2013;""
Total Nacional;;Tasa de desempleo (Porcentaje);Mujeres;2012;""
Total Nacional;;Tasa de desempleo (Porcentaje);Mujeres;2011;""
Total Nacional;;Tasa de desempleo (Porcentaje);Mujeres;2010;""
Total Nacional;;Tasa de desempleo (Porcentaje);Hombres;2023;""
Total Nacional;;Tasa de desempleo (Porcentaje);Hombres;2022;""
Total Nacional;;Tasa de desempleo (Porcentaje);Hombres;2021;""
Total Nacional;;Tasa de desempleo (Porcentaje);Hombres;2020;""
Total Nacional;;Tasa de desempleo (Porcentaje);Hombres;2019;""
Total Nacional;;Tasa de desempleo (Porcentaje);Hombres;2018;""
Total Nacional;;Tasa de desempleo (Porcentaje);Hombres;2017;""
Total Nacional;;Tasa de desempleo (Porcentaje);Hombres;2016;""
Total Nacional;;Tasa de desempleo (Porcentaje);Hombres;2015;""
Total Nacional;;Tasa de desempleo (Porcentaje);Hombres;2014;""
Total Nacional;;Tasa de desempleo (Porcentaje);Hombres;2013;""
Total Nacional;;Tasa de desempleo (Porcentaje);Hombres;2012;""
Total Nacional;;Tasa de desempleo (Porcentaje);Hombres;2011;""
Total Nacional;;Tasa de desempleo (Porcentaje);Hombres;2010;""
Total Nacional;;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Total;2023;88,13
Total Nacional;;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Total;2022;87,26
Total Nacional;;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Total;2021;85,37
Total Nacional;;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Total;2020;84,68
